Year,Week,Day,Date,Time,Scoretype,WL,Team,Opp,TmScore,OppScore,off_1stD,off_TotYd,off_ PassY,off_RushY,off_TO,def_1stD,def_TotYd,def_PassY,def_RushY,def_TO
2014,1,Mon,8-Sep,9:20PM ET,boxscore,W,Arizona Cardinals,San Diego Chargers,18,17,22,403,294,109,2,15,290,238,52,1
2014,2,Sun,14-Sep,1:04PM ET,boxscore,W,Arizona Cardinals,New York Giants,25,14,21,266,142,124,,24,341,260,81,4
2014,3,Sun,21-Sep,4:05PM ET,boxscore,W,Arizona Cardinals,San Francisco 49ers,23,14,24,338,254,84,1,20,318,236,82,
2014,5,Sun,5-Oct,4:05PM ET,boxscore,L,Arizona Cardinals,Denver Broncos,20,41,9,215,178,37,,24,568,476,92,2
2014,6,Sun,12-Oct,4:25PM ET,boxscore,W,Arizona Cardinals,Washington Redskins,30,20,19,317,243,74,,21,407,335,72,4
2014,7,Sun,19-Oct,4:25PM ET,boxscore,W,Arizona Cardinals,Oakland Raiders,24,13,25,365,242,123,1,13,220,164,56,
2014,8,Sun,26-Oct,4:05PM ET,boxscore,W,Arizona Cardinals,Philadelphia Eagles,24,20,17,400,329,71,1,27,521,411,110,3
2014,9,Sun,2-Nov,1:04PM ET,boxscore,W,Arizona Cardinals,Dallas Cowboys,28,17,22,339,237,102,1,18,266,174,92,2
2014,10,Sun,9-Nov,4:25PM ET,boxscore,W,Arizona Cardinals,St. Louis Rams,31,14,21,335,307,28,1,16,244,174,70,3
2014,11,Sun,16-Nov,4:25PM ET,boxscore,W,Arizona Cardinals,Detroit Lions,14,6,18,352,306,46,2,11,262,164,98,1
2014,12,Sun,23-Nov,4:06PM ET,boxscore,L,Arizona Cardinals,Seattle Seahawks,3,19,12,204,140,64,1,16,293,169,124,
2014,13,Sun,30-Nov,4:05PM ET,boxscore,L,Arizona Cardinals,Atlanta Falcons,18,29,18,329,294,35,3,22,500,358,142,1
2014,14,Sun,7-Dec,4:05PM ET,boxscore,W,Arizona Cardinals,Kansas City Chiefs,17,14,18,366,225,141,,19,390,264,126,2
2014,15,Thu,11-Dec,8:25PM ET,boxscore,W,Arizona Cardinals,St. Louis Rams,12,6,13,274,131,143,,13,280,211,69,2
2014,16,Sun,21-Dec,8:30PM ET,boxscore,L,Arizona Cardinals,Seattle Seahawks,6,35,17,216,187,29,1,23,596,329,267,
2014,17,Sun,28-Dec,4:25PM ET,boxscore,L,Arizona Cardinals,San Francisco 49ers,17,20,26,397,299,98,3,18,395,189,206,
2015,1,Sun,13-Sep,4:05PM ET,boxscore,W,Arizona Cardinals,New Orleans Saints,31,19,25,427,307,120,1,18,408,354,54,1
2015,2,Sun,20-Sep,1:00PM ET,boxscore,W,Arizona Cardinals,Chicago Bears,48,23,21,300,185,115,2,18,335,226,109,2
2015,3,Sun,27-Sep,4:05PM ET,boxscore,W,Arizona Cardinals,San Francisco 49ers,47,7,28,446,307,139,1,10,156,53,103,4
2015,4,Sun,4-Oct,4:25PM ET,boxscore,L,Arizona Cardinals,St. Louis Rams,22,24,26,447,334,113,3,13,328,164,164,
2015,5,Sun,11-Oct,4:05PM ET,boxscore,W,Arizona Cardinals,Detroit Lions,42,17,15,345,158,187,,29,435,379,56,6
2015,6,Sun,18-Oct,1:04PM ET,boxscore,L,Arizona Cardinals,Pittsburgh Steelers,13,25,21,469,414,55,3,14,310,169,141,
2015,7,Mon,26-Oct,8:30PM ET,boxscore,W,Arizona Cardinals,Baltimore Ravens,26,18,21,414,264,150,,18,276,221,55,2
2015,8,Sun,1-Nov,1:02PM ET,boxscore,W,Arizona Cardinals,Cleveland Browns,34,20,25,491,372,119,4,16,254,215,39,2
2015,10,Sun,15-Nov,8:35PM ET,boxscore,W,Arizona Cardinals,Seattle Seahawks,39,32,30,451,334,117,3,18,343,228,115,1
2015,11,Sun,22-Nov,8:30PM ET,boxscore,W,Arizona Cardinals,Cincinnati Bengals,34,31,21,383,301,82,2,24,377,278,99,1
2015,12,Sun,29-Nov,4:05PM ET,boxscore,W,Arizona Cardinals,San Francisco 49ers,19,13,26,337,267,70,,17,368,301,67,2
2015,13,Sun,6-Dec,1:00PM ET,boxscore,W,Arizona Cardinals,St. Louis Rams,27,3,29,524,349,175,,9,212,146,66,1
2015,14,Thu,10-Dec,8:25PM ET,boxscore,W,Arizona Cardinals,Minnesota Vikings,23,20,22,393,296,97,,23,389,317,72,3
2015,15,Sun,20-Dec,8:31PM ET,boxscore,W,Arizona Cardinals,Philadelphia Eagles,40,17,28,493,263,230,,19,424,350,74,4
2015,16,Sun,27-Dec,4:25PM ET,boxscore,W,Arizona Cardinals,Green Bay Packers,38,8,19,381,260,121,2,16,178,77,101,4
2015,17,Sun,3-Jan,4:25PM ET,boxscore,L,Arizona Cardinals,Seattle Seahawks,6,36,16,232,205,27,3,22,354,209,145,
2016,1,Sun,11-Sep,8:30PM ET,boxscore,L,Arizona Cardinals,New England Patriots,21,23,21,344,252,92,,19,363,257,106,2
2016,2,Sun,18-Sep,1:05PM ET,boxscore,W,Arizona Cardinals,Tampa Bay Buccaneers,40,7,20,416,311,105,,21,306,221,85,5
2016,3,Sun,25-Sep,1:02PM ET,boxscore,L,Arizona Cardinals,Buffalo Bills,18,33,25,348,260,88,5,16,297,89,208,1
2016,4,Sun,2-Oct,4:25PM ET,boxscore,L,Arizona Cardinals,Los Angeles Rams,13,17,26,420,302,118,5,12,288,247,41,1
2016,5,Thu,6-Oct,8:27PM ET,boxscore,W,Arizona Cardinals,San Francisco 49ers,33,21,17,288,116,172,,25,286,135,151,3
2016,6,Mon,17-Oct,8:30PM ET,boxscore,W,Arizona Cardinals,New York Jets,28,3,28,396,225,171,,11,230,197,33,2
2016,7,Sun,23-Oct,8:30PM ET,boxscore,T,Arizona Cardinals,Seattle Seahawks,6,6,23,443,311,132,,11,257,205,52,
